0
7SK
A2M
A2M-AS1
A2ML1
AARD
AARS
AATF
AB019441.29
ABAT
ABCA2
ABCA3
ABCC1
ABCC5
ABCD1
ABHD14A-ACY1
ABHD2
ABRACL
AC000032.2
AC000089.3
AC002075.4
AC002398.12
AC002398.9
AC002985.3
AC004057.1
AC004231.2
AC004453.8
AC004540.4
AC004951.5
AC005150.1
AC005301.9
AC005339.2
AC005786.7
AC005943.2
AC005943.6
AC005944.2
AC006262.10
AC007036.5
AC007192.4
AC007192.6
AC007318.5
AC007563.5
AC007969.5
AC008440.5
AC008694.2
AC008746.3
AC009133.12
AC009133.15
AC009133.21
AC009133.22
AC009133.24
AC009245.3
AC009299.5
AC010468.1
AC010642.1
AC010761.10
AC010761.8
AC011513.3
AC011558.5
AC015688.3
AC016292.3
AC016734.2
AC016739.2
AC017116.11
AC018738.2
AC018755.18
AC019349.5
AC021224.1
AC024592.12
AC026271.5
AC053503.6
AC068134.8
AC068522.4
AC068533.7
AC068580.6
AC069363.1
AC073072.7
AC073610.5
AC078883.4
AC079250.1
AC079466.1
AC092155.1
AC096579.15
AC097523.1
AC104532.2
AC104534.3
AC107081.5
AC107983.4
AC113404.1
AC114812.8
AC132217.4
AC142391.3
AC144530.1
ACAA2
ACAD11
ACADVL
ACAT1
ACE
ACE2
ACKR3
ACLY
ACO2
ACOT7
ACP5
ACSL1
ACSL3
ACSL5
ACSM1
ACSM2A
ACSM2B
ACTA1
ACTA2
ACTA2-AS1
ACTB
ACTBP2
ACTC1
ACTG1
ACTG1P20
ACTG2
ACTL6A
ACTN1
ACTN2
ACTN4
ACTR2
ACVR1
ACY1
ACY3
AD000091.3
ADAM23
ADAM9
ADAMDEC1
ADAMTS1
ADAR
ADCYAP1R1
ADD3
ADGRB1
ADGRF5
ADGRG1
ADGRL4
ADH1B
ADH1C
ADH7
ADIPOQ
ADIPOQ-AS1
ADIPOR1
ADIPOR2
ADIRF
ADIRF-AS1
ADM
ADRM1
AEBP1
AES
AF001548.5
AF001548.6
AF011889.5
AF127577.10
AFP
AGAP2
AGAP2-AS1
AGER
AGMAT
AGPAT1
AGPAT2
AGR2
AGR3
AGRN
AGT
AGTR1
AHCY
AHCYL1
AHCYL2
AHNAK
AHNAK2
AHR
AIF1
AIF1L
AIM1
AIP
AK1
AKAP12
AKR1A1
AKR1B1
AKR1B10
AKR1B15
AKR1C1
AKR1C2
AKR1C3
AKR7A2
AKR7A3
AL021546.6
AL157871.2
AL162151.3
AL513523.2
AL928654.7
ALAS1
ALB
ALCAM
ALDH1A1
ALDH1A3
ALDH1B1
ALDH2
ALDH3A1
ALDH3A2
ALDH3B2
ALDH4A1
ALDH6A1
ALDH9A1
ALDOA
ALDOB
ALDOC
ALG3
ALG8
ALOX15
ALOX15B
ALOX5AP
ALPI
ALPL
ALPP
ALPPL2
ALYREF
AMACR
AMBN
AMBP
AMELX
AMFR
AMIGO2
AMTN
AMY1A
AMY1B
AMY1C
AMYP1
ANG
ANGPTL2
ANGPTL4
ANGPTL7
ANKRD1
ANKRD10
ANKRD30A
ANKS1A
ANO1
ANO1-AS1
ANP32B
ANP32E
ANPEP
ANTXR1
ANXA1
ANXA10
ANXA11
ANXA2
ANXA2P2
ANXA4
ANXA5
ANXA6
ANXA7
ANXA8
ANXA9
AOC1
AOC3
AOX1
AP000275.65
AP000282.2
AP000304.12
AP000320.7
AP000350.10
AP000688.14
AP000721.4
AP000892.6
AP000936.1
AP001610.5
AP003068.9
AP003419.11
AP006621.8
AP1M2
AP1S1
AP1S2
AP2B1
AP2M1
AP2S1
APBB1
APC2
APCDD1
APEX1
APH1A
APLN
APLNR
APLP1
APLP2
APMAP
APOA1
APOA1-AS
APOA2
APOA4
APOB
APOBEC3A
APOC1
APOC2
APOC3
APOC4-APOC2
APOD
APOE
APOH
APOL1
APOL2
APOLD1
APOM
APP
APRT
AQP1
AQP2
AQP3
AQP4
AQP5
AQP6
AQP8
ARAP1-AS1
ARC
ARCN1
AREG
ARF1
ARF3
ARF4
ARF5
ARF6
ARG2
ARHGAP36
ARHGDIA
ARHGDIB
ARHGEF25
ARHGEF6
ARL2
ARL2BP
ARL4C
ARL4D
ARL6IP1
ARL6IP4
ARL6IP5
ARMT1
ARNT2
ARPC1A
ARPC1B
ARPC4
ARRDC3
ARRDC4
ASAH1
ASCL1
ASCL2
ASIC1
ASIC4
ASPH
ASPN
ASPRV1
ASRGL1
ASS1
ATCAY
ATF3
